Name,Entity
slow fe,DRUG
clindamycin 1% solution,DRUG
neo*iv*penicillin g potassium,DRUG
humulin,DRUG
clotrimazole,DRUG
zelnorm,DRUG
insulin aspart *nf* (for insulin pump),DRUG
pimozide,DRUG
albumin 25% (12.5g / 50ml),DRUG
lipram 4500,DRUG
bisacodyl (rectal),DRUG
megestrol,DRUG
sulfameth/trimeth ss (self med),DRUG
clopidogrel study drug (*ind*),DRUG
famvir,DRUG
ortho tri-cyclen lo,DRUG
imodium a-d *nf*,DRUG
neomycin-polymyxin-dexameth ophth. oint,DRUG
*nf* valsartan,DRUG
sulfazine ec,DRUG
liposyn ii  20%,DRUG
multivitamin liquid,DRUG
mycophenolate sodium,DRUG
indomethacin,DRUG
syringe (intraperitoneal),DRUG
neo*iv*fat emulsion,DRUG
hydroxychloroquine,DRUG
citalopram ,DRUG
valproate sodium,DRUG
clarithromycin,DRUG
valp,DRUG
neurontin,DRUG
catapres,DRUG
heparin flush,DRUG
morphine sulfate (concentrated oral soln),DRUG
physostigmine salicylate,DRUG
*nf* homatropine 2%,DRUG
clonidine tts 2 patch,DRUG
effexor xr,DRUG
multiple vitamins liq.,DRUG
sumatriptan succinate,DRUG
asa81,DRUG
*nf* naltrexone,DRUG
risendronate (actonel),DRUG
robit,DRUG
triazol,DRUG
citrate dextrose 3% (acd-a) crrt,DRUG
insulin human nph,DRUG
ethanol 70% catheter dwell (tunneled access line),DRUG
methylphenidate sr,DRUG
insulin regular pork (iletin ii),DRUG
*nf* pilocarpine,DRUG
tetracaine hcl,DRUG
divalproex sodium er,DRUG
fluocinolone,DRUG
*nf* zileuton sr,DRUG
glucovance (5mg-500mg),DRUG
levofloxacin,DRUG
geodon,DRUG
zomig 2.5mg odt tabs,DRUG
epinephrine kit,DRUG
zyprex,DRUG
econazole,DRUG
benazepril-hydrochlorothiazide,DRUG
acetic acid otic,DRUG
morphine sulfa,DRUG
erythro,DRUG
prochlorperazine,DRUG
